CRIPTOATIVO;MÊS/ANO;Nº DE OPERAÇÕES;VALOR TOTAL DAS OPERAÇÕES;VALOR MÉDIO POR OPERAÇÃO
BNB;Setembro de 2021;18.009;156.478.809,16;8.688,92
BNB;Outubro de 2021;30.299;19.908.882,91;657,08
BNB;Novembro de 2021;36.582;26.770.973,16;731,81
BNB;Dezembro de 2021;25.293;18.357.359,41;725,79
BNB;Janeiro de 2022;19.193;14.254.697,59;742,70
BNB;Fevereiro de 2022;20.047;10.166.424,19;507,13
BNB;Março de 2022;21.172;8.550.761,11;403,87
BNB;Abril de 2022;21.227;9.715.181,63;457,68
BNB;Maio de 2022;27.655;9.064.660,64;327,78
BNB;Junho de 2022;36.596;13.074.931,49;357,28
BNB;Julho de 2022;34.147;10.261.050,21;300,50
BNB;Agosto de 2022;34.375;7.768.193,34;225,98
BNB;Setembro de 2022;43.740;6.875.228,32;157,18
BNB;Outubro de 2022;66.059;6.543.428,65;99,05
BNB;Novembro de 2022;16.660;11.739.830,64;704,67
BNB;Dezembro de 2022;11.164;6.087.564,61;545,29
BNB;Janeiro de 2023;11.697;6.899.102,23;589,82
BNB;Fevereiro de 2023;16.458;6.415.996,39;389,84
BNB;Março de 2023;14.420;5.358.077,43;371,57
BNB;Abril de 2023;15.273;4.415.629,96;289,11
BNB;Maio de 2023;11.026;5.303.032,79;480,96
BNB;Junho de 2023;8.492;4.335.242,64;510,51
BNB;Julho de 2023;9.918;3.513.763,70;354,28
BNB;Agosto de 2023;10.039;19.768.823,01;1.969,20
BNB;Setembro de 2023;10.864;4.858.965,59;447,25
BNB;Outubro de 2023;10.528;5.535.811,36;525,82
BNB;Novembro de 2023;12.543;6.883.123,12;548,76
BNB;Dezembro de 2023;15.075;7.418.510,47;492,11
BNB;Janeiro de 2024;11.973;9.220.262,42;770,09
BNB;Fevereiro de 2024;17.464;6.903.145,35;395,28
BNB;Março de 2024;23.871;16.230.732,11;679,94
BNB;Abril de 2024;13.999;9.257.132,40;661,27
BNB;Maio de 2024;11.175;5.802.148,68;519,21
BNB;Junho de 2024;12.667;8.321.482,83;656,94
BNB;Julho de 2024;18.810;6.413.695,08;340,97
BNB;Agosto de 2024;23.295;5.753.025,57;246,96
BNB;Setembro de 2024;18.047;4.625.194,94;256,29
BNB;Outubro de 2024;22.200;5.886.429,56;265,15
BNB;Novembro de 2024;39.130;9.460.320,70;241,77
BNB;Dezembro de 2024;13;1.082,33;83,26
BRLT;Agosto de 2020;1;3.000.000,00;3.000.000,00
BRZ;Agosto de 2019;58;3.835.538,43;66.129,97
BRZ;Setembro de 2019;50;1.854.402,22;37.088,04
BRZ;Outubro de 2019;181;41.550.173,52;229.558,97
BRZ;Novembro de 2019;149;52.138.654,96;349.923,86
BRZ;Dezembro de 2019;230;120.533.411,56;524.058,31
BRZ;Janeiro de 2020;258;112.661.452,48;436.672,30
BRZ;Fevereiro de 2020;156;54.899.904,94;351.922,47
BRZ;Março de 2020;148;34.941.946,44;236.094,23
BRZ;Abril de 2020;51;2.704.506,98;53.029,55
BRZ;Maio de 2020;1.387;11.251.028,30;8.111,77
BRZ;Junho de 2020;1.382;34.926.638,13;25.272,53
BRZ;Julho de 2020;1.277;75.136.076,69;58.837,96
BRZ;Agosto de 2020;10.194;115.166.718,02;11.297,50
BRZ;Setembro de 2020;8.393;157.407.914,71;18.754,67
BRZ;Outubro de 2020;7.772;327.521.563,09;42.141,22
BRZ;Novembro de 2020;7.145;248.875.819,70;34.832,17
BRZ;Dezembro de 2020;10.247;347.504.280,35;33.912,78
BRZ;Janeiro de 2021;12.535;220.230.600,79;17.569,25
BRZ;Fevereiro de 2021;12.974;392.635.430,79;30.263,25
BRZ;Março de 2021;17.124;416.595.097,94;24.328,14
BRZ;Abril de 2021;26.931;946.370.520,91;35.140,56
BRZ;Maio de 2021;59.077;1.098.969.646,73;18.602,33
BRZ;Junho de 2021;37.138;892.552.284,77;24.033,40
BRZ;Julho de 2021;34.953;832.567.076,85;23.819,62
BRZ;Agosto de 2021;47.754;570.361.375,79;11.943,74
BRZ;Setembro de 2021;51.587;807.513.782,60;15.653,44
BRZ;Outubro de 2021;55.071;1.068.300.354,03;19.398,60
BRZ;Novembro de 2021;71.839;1.000.956.035,99;13.933,32
BRZ;Dezembro de 2021;87.506;1.059.696.870,30;12.109,99
BRZ;Janeiro de 2022;66.156;854.041.808,19;12.909,51
BRZ;Fevereiro de 2022;49.379;566.477.936,11;11.472,04
BRZ;Março de 2022;55.687;1.241.334.242,25;22.291,28
BRZ;Abril de 2022;37.179;725.491.614,85;19.513,48
BRZ;Maio de 2022;33.487;521.110.079,71;15.561,56
BRZ;Junho de 2022;54.595;653.950.938,18;11.978,22
BRZ;Julho de 2022;93.785;1.119.588.850,98;11.937,82
BRZ;Agosto de 2022;415.596;557.104.693,09;1.340,50
BRZ;Setembro de 2022;549.075;624.411.517,70;1.137,21
BRZ;Outubro de 2022;935.746;655.884.086,04;700,92
BRZ;Novembro de 2022;959.712;447.706.554,66;466,50
BRZ;Dezembro de 2022;1.753.261;346.236.623,20;197,48
BRZ;Janeiro de 2023;2.178.776;254.547.904,21;116,83
BRZ;Fevereiro de 2023;1.212.020;179.582.600,10;148,17
BRZ;Março de 2023;1.330.516;274.490.425,32;206,30
